fixture_id,shelfmark,century,script_type,language,gen_split,reference
catmus_001,"Paris, BnF, esp. 480",13,Semihybrida,Castilian,test,q̃ y paresçio. ffecha ⁊ signada por man de domĩgo ffeĩrs escrͥuan publico de Burgos del rregistͦ de pͦ m̃z escͥuan. ffizierõ abenẽçia en esta maña q̃los dich̃s Sanch̃ ꝑez ⁊
catmus_002,"Paris, BnF, esp. 256",13,Textualis,Castilian,test,cõplimos cipes como deuem seer nansos et atemprados contͣ
catmus_003,"Paris, BnF, esp. 256",13,Textualis,Castilian,test,delantre q̃la quebrantare ⁊ q̃ la nõ quisiere guarda⟦r⟧ sea ordon⟦a⟧
catmus_004,"Salamanca, Biblioteca Histórica USAL, 2011",14,Cursiva,Castilian,test,E Regnosu fiio Ioram ensu logare &
catmus_005,"San Lorenzo de El Escorial, RBME, Z-III-9",14,Cursiva,Castilian,test,plazar aotros/.
catmus_006,"San Lorenzo de El Escorial, RBME, Z-III-9",14,Cursiva,Castilian,test,nan cartas dela ṅra
catmus_007,"San Lorenzo de El Escorial, RBME, Z-III-9",14,Cursiva,Castilian,test,i maliçiosa
catmus_008,"Madrid, BNE, MSS. 6406",14,Hybrida,Castilian,test,caualłos ⁊ fiios dalgo ⁊ conceios ⁊ om̃s bonos dłas çibdades
catmus_009,"Salamanca, Biblioteca Histórica USAL, 2673",14,Textualis,Castilian,test,q̈nto entra de lo ageno entregue lo
catmus_010,"Salamanca, Biblioteca Histórica USAL, 2673",14,Textualis,Castilian,test,⁊en pod̾ ⁊ en paz. si el forçador algun
catmus_011,"Salamanca, Biblioteca Histórica USAL, 2673",14,Textualis,Castilian,test,des maguer q̃ se abenga Ꝯ el q̃ firio por
catmus_012,"San Lorenzo de El Escorial, RBME, K.I.5",15,Cursiva,Castilian,test,tyrar sa liçẽçia ⁊ el atreuimiẽto de maldat ⁊ por
catmus_013,"San Lorenzo de El Escorial, RBME, K.I.5",15,Cursiva,Castilian,test,ra/ cõuiene de saber q̃ cauałłia ⁊ sabiduria da uida
catmus_014,"San Lorenzo de El Escorial, RBME, K.I.5",15,Cursiva,Castilian,test,casa/ode una cõpaña asi es de meñster sabiduria
catmus_015,"San Lorenzo de El Escorial, RBME, K.I.5",15,Cursiva,Castilian,test,çibdat ⁊ es rreyno en tpõ de paz segut̃ la opiniõn
catmus_016,"San Lorenzo de El Escorial, RBME, K.I.5",15,Cursiva,Castilian,test,uitoria de sus enemigos por q̃ fuerõ iustos ⁊ bue
catmus_017,"San Lorenzo de El Escorial, RBME, K.I.5",15,Cursiva,Castilian,test,⁊ en cabo cõcluyo asi senõr sabe si es algã mal
catmus_018,"Madrid, BNE, MSS. 12732",15,Hybrida,Castilian,test,eneste mũdo que dessearõ auer fiios o
catmus_019,"Madrid, BNE, MSS. 12732",15,Hybrida,Castilian,test,contͣ dios nĩ contra el tu ꝓximo q̃ te
catmus_020,"Madrid, BNE, MSS. 12732",15,Hybrida,Castilian,test,para mientes por ti mesmo que si die
catmus_021,"Madrid, BNE, MSS. 12732",15,Hybrida,Castilian,test,quando morio ¶ Mio fiio com̃o quier qũ
